name,price,category,image_url
Double Cheese Margherita,14.99,Pizza,https://images.unsplash.com/photo-1574071318508-1cdbab80d002?auto=format&fit=crop&w=800&q=80
Farmhouse Pizza,16.50,Pizza,https://images.unsplash.com/photo-1628840042765-356cda07504e?auto=format&fit=crop&w=800&q=80
Spicy Chicken Burger,12.00,Burger,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?auto=format&fit=crop&w=800&q=80
Classic Cheeseburger,10.50,Burger,https://images.unsplash.com/photo-1550547660-d9450f859349?auto=format&fit=crop&w=800&q=80
Veggie Supreme Burger,9.99,Burger,https://images.unsplash.com/photo-1551782450-a2132b4ba21d?auto=format&fit=crop&w=800&q=80
Pepperoni Passion,17.00,Pizza,https://images.unsplash.com/photo-1604381536699-b47f0c3c84d5?auto=format&fit=crop&w=800&q=80
Cold Coffee,4.50,Drinks,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?auto=format&fit=crop&w=800&q=80
Fresh Lemonade,3.00,Drinks,https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?auto=format&fit=crop&w=800&q=80
Coca Cola Can,2.50,Drinks,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?auto=format&fit=crop&w=800&q=80
BBQ Bacon Burger,13.50,Burger,https://images.unsplash.com/photo-1594212202875-54dfc4ce56ce?auto=format&fit=crop&w=800&q=80
